time,tx_bytes,tx_packets,drops
30.40,448545,2343,36
30.51,449151,2352,36
30.62,449822,2362,37
30.73,450424,2371,37
30.83,451027,2380,37
30.94,451631,2389,37
31.05,452234,2398,39
31.15,452838,2407,39
31.26,453441,2416,39
31.37,454044,2425,39
31.48,454717,2435,39
31.59,455321,2444,40
31.69,455924,2453,40
31.81,456659,2464,40
31.91,457328,2474,40
32.02,457864,2482,40
32.13,458465,2491,40
32.23,459133,2501,40
32.34,459669,2509,40
32.45,460343,2519,40
32.55,460946,2528,41
32.66,461482,2536,41
32.77,462150,2546,41
32.88,462754,2555,41
32.99,463425,2565,41
33.10,464028,2574,42
33.21,464631,2583,42
33.31,465166,2591,44
33.42,465636,2598,44
33.53,466309,2608,44
33.64,466979,2618,44
33.75,467580,2627,45
33.85,468251,2637,45
33.96,468787,2645,45
34.07,469457,2655,45
34.18,470127,2665,45
34.29,470798,2675,45
34.40,471469,2685,45
34.50,472074,2694,46
34.61,472677,2703,47
34.72,473280,2712,47
34.83,473951,2722,47
34.94,474622,2732,48
35.05,475225,2741,48
35.16,475828,2750,49
35.27,476497,2760,50
35.37,477034,2768,50
35.48,477640,2777,50
35.59,478378,2788,50
35.70,478913,2796,50
35.81,479650,2807,50
35.91,480187,2815,50
36.02,480789,2824,50
36.13,481325,2832,50
36.24,482062,2843,50
36.35,482800,2854,50
36.45,483403,2863,50
36.56,484075,2873,51
36.67,484678,2882,51
36.78,485215,2890,52
36.89,485886,2900,52
37.00,486487,2909,52
37.11,487225,2920,52
37.23,487827,2929,52
37.34,488563,2940,52
37.45,489163,2949,52
37.56,489836,2959,52
37.67,490439,2968,52
37.79,491109,2978,52
37.90,491779,2988,52
38.01,492382,2997,52
38.13,493050,3007,52
38.24,493788,3018,52
38.35,494392,3027,52
38.47,494997,3036,52
38.58,495668,3046,52
38.69,496338,3056,53
38.81,496938,3065,53
38.92,497475,3073,53
39.03,498144,3083,53
39.14,498748,3092,53
39.25,499350,3101,53
39.37,500022,3111,53
39.48,500767,3122,53
39.59,501304,3130,54
39.70,501973,3140,54
39.82,502576,3149,54
39.93,503180,3158,54
40.04,503851,3168,54
40.16,504455,3177,54
40.27,505192,3188,54
40.38,505795,3197,54
40.50,506398,3206,55
40.61,507068,3216,55
40.72,507672,3225,55
40.83,508410,3236,55
40.94,508941,3244,55
41.05,509610,3254,55
41.16,510213,3263,55
41.27,511018,3275,55
41.38,511622,3284,55
41.49,512228,3293,55
41.60,512898,3303,55
41.71,513567,3313,56
41.82,514169,3322,56
41.93,514773,3331,56
42.04,515444,3341,56
42.15,516180,3352,56
42.25,516715,3360,56
42.36,517387,3370,56
42.47,517992,3379,57
42.58,518596,3388,57
42.69,519332,3399,57
42.79,519935,3408,57
42.90,520606,3418,57
43.01,521141,3426,58
43.12,521744,3435,59
43.23,522415,3445,59
43.33,522885,3452,60
43.44,523556,3462,60
43.55,524294,3473,60
43.66,524896,3482,60
43.77,525498,3491,60
43.89,526167,3501,60
44.00,526901,3512,60
44.10,527438,3520,60
44.22,528175,3531,60
44.32,528844,3541,60
44.43,529314,3548,61
44.54,529920,3557,61
44.65,530657,3568,61
44.75,531258,3577,61
44.86,531930,3587,61
44.97,532598,3597,61
45.08,533202,3606,61
45.19,533872,3616,61
45.29,534340,3623,62
45.40,535010,3633,64
45.51,535482,3640,64
45.62,536152,3650,64
45.72,536823,3660,64
45.83,537427,3669,64
45.94,538164,3680,64
46.05,538766,3689,64
46.15,539435,3699,64
46.26,539972,3707,65
46.37,540508,3715,65
46.48,541181,3725,66
46.59,541785,3734,66
46.70,542522,3745,66
46.81,543058,3753,67
46.91,543660,3762,67
47.02,544331,3772,67
47.13,544935,3781,68
47.24,545405,3788,69
47.35,546140,3799,69
47.46,546813,3809,69
47.56,547348,3817,69
47.67,548017,3827,69
47.78,548618,3836,69
47.89,549355,3847,70
48.00,549958,3856,70
48.11,550560,3865,70
48.22,551163,3874,70
48.33,551833,3884,70
48.43,552502,3894,70
48.54,553175,3904,70
48.65,553711,3912,70
48.76,554315,3921,70
48.87,554918,3930,71
48.97,555521,3939,72
49.08,556123,3948,72
49.19,556724,3957,72
49.30,557260,3965,73
49.40,557796,3973,74
49.51,558470,3983,74
49.62,559074,3992,74
49.73,559808,4003,74
