time,tx_bytes,tx_packets,drops
32.59,737538,885,760
32.70,740064,888,766
32.81,743432,892,772
32.92,745958,895,779
33.03,748484,898,786
33.15,751852,902,793
33.26,754378,905,799
33.37,756904,908,806
33.48,760272,912,812
33.59,762798,915,819
33.70,765324,918,826
33.81,767850,921,832
33.93,771218,925,838
34.04,773744,928,845
34.15,776270,931,851
34.26,779638,935,859
34.37,782164,938,865
34.48,784690,941,872
34.59,787216,944,877
34.71,790584,948,884
34.82,793110,951,891
34.93,795636,955,898
35.04,799004,958,904
35.15,801530,961,911
35.26,804056,964,918
35.38,807424,968,924
35.49,809950,971,931
35.60,812476,974,937
35.71,815844,978,944
35.83,818370,981,951
35.94,820896,984,958
36.05,824264,988,964
36.16,826790,991,971
36.27,829316,994,978
36.39,832684,998,984
36.50,835210,1001,992
36.61,837736,1004,998
36.74,841104,1008,1006
36.86,844472,1012,1012
36.97,846998,1015,1019
37.08,849524,1018,1026
37.20,852892,1022,1034
37.31,855418,1025,1040
37.42,857944,1028,1047
37.53,861312,1032,1053
37.64,863838,1035,1060
37.75,866364,1038,1067
37.86,869732,1042,1073
37.97,872258,1045,1080
38.08,874784,1048,1087
38.19,877310,1051,1094
38.30,880678,1055,1100
38.41,883204,1058,1107
38.53,885730,1061,1113
38.64,889098,1065,1120
38.76,891624,1068,1127
38.88,894992,1072,1133
38.99,897518,1075,1140
39.10,900044,1078,1147
39.22,903412,1082,1154
39.33,905938,1085,1161
39.44,909306,1089,1168
39.56,911832,1092,1175
39.67,914358,1095,1182
39.78,916884,1098,1188
39.89,920252,1102,1194
40.00,922778,1105,1201
40.11,925304,1108,1208
40.22,928672,1112,1214
40.33,931198,1115,1221
40.45,933724,1118,1228
40.56,937092,1122,1234
40.67,939618,1125,1241
40.78,942144,1128,1248
40.89,945512,1132,1254
41.00,948038,1135,1261
41.11,950564,1138,1269
41.23,953090,1141,1275
41.34,956458,1145,1282
41.45,958984,1148,1288
41.56,961510,1151,1295
41.67,964878,1155,1301
41.78,967404,1158,1308
41.89,969930,1161,1315
42.00,972456,1164,1321
42.12,975824,1168,1327
42.23,978350,1171,1334
42.34,981718,1175,1341
42.45,984244,1178,1347
42.56,986770,1181,1355
42.68,990138,1185,1361
42.79,992664,1188,1368
42.90,995190,1191,1375
43.01,997716,1194,1381
43.13,1001084,1198,1381
43.24,1003610,1201,1381
43.35,1006978,1205,1381
43.46,1009504,1208,1381
43.57,1012030,1211,1381
43.69,1014556,1214,1381
43.79,1017924,1218,1381
43.91,1020450,1221,1381
44.01,1022976,1224,1381
44.13,1026344,1228,1381
44.23,1028870,1231,1381
44.34,1031396,1234,1381
44.46,1033922,1237,1381
44.57,1037290,1241,1381
44.68,1039816,1244,1381
44.79,1042342,1247,1381
44.90,1045710,1251,1381
45.02,1048236,1254,1381
45.13,1050762,1257,1381
45.25,1054130,1261,1381
45.36,1056656,1264,1381
45.48,1060024,1268,1381
45.59,1062550,1271,1381
45.70,1065076,1274,1381
45.81,1068444,1278,1381
45.92,1070970,1281,1381
